"Council","Ward","Defending","Outgoing councillor","Cause","Polling","Remarks"
"Basildon","Lee Chapel N","Lab","Alan Bennett","Resignation","2018-06-21",
"Basildon","Pitsea SE","UKIP","Jose Carrion","Resignation","2018-06-21",
"Basingstoke/Deane","Kempshott","C","Anne Court","Disqualification","2018-06-21","Non-attendance"
"Brent","Willesden Grn","Lab","Lesley Jones","Postponed","2018-06-21","Death of candidate Lesley Jones (Lab)"
"Charnwood","Quorn/Mountsorrel Castle","C","David Slater","Death","2018-06-21",
"Cherwell","Bicester W","C","Jolanta Lis","Postponed","2018-06-21","Death of candidate Jolanta Lis (C)"
"S Northants","Astwell","C","Simon Marinker","Resignation","2018-06-21",
"S Northants","Whittlewood","C","Lizzy Bowen","Disqualification","2018-06-21","Non-attendance"
"W Somerset","Alcombe","UKIP","Adrian Behan","Resignation","2018-06-21",
"Leics CC","Syston Ridgeway","C","David Slater","Death","2018-06-28",
"N Devon","Fremington","Ind","Tony Hill","Death","2018-06-28",
"N Kesteven","N Hykeham Mill","C","Andrea Clarke","Resignation","2018-06-28",
"N Kesteven","Skellingthorpe","Ind","Shirley Pannell","Resignation","2018-06-28","Elected as Shirley Flint"
"BANES","Kingsmead","C","Chris Pearce","Death","2018-07-05",
"City of London","Candlewick","Ind","Dame Fiona Woolf","Resignation","2018-07-05","Aldermanic election"
"City of London","Cheap","Ind","Lord Mountevans","Resignation","2018-07-05","Aldermanic election"
"Lichfield","Curborough","C","Jeanette Allsopp","Death","2018-07-05",
"Salop","Shifnal S/Cosford","C","Stuart West","Resignation","2018-07-05",
"Barnsley","Old Town","Lab","Anita Cherryholme","Resignation","2018-07-12",
"City of London","Aldgate","Ind","Peter Hewitt","Resignation","2018-07-12","Aldermanic election"
"City of London","Bridge/Bridge Wt","Ind","Sir Alan Yarrow","Resignation","2018-07-12","Aldermanic election"
"Darlington","Cockerton","Lab","David Regan","Death","2018-07-12",
"E Dorset","Verwood E","C","Boyd Mortimer","Death","2018-07-12",
"Elmbridge","Oxshott/Stoke d'Abernon","C","James Vickers","Resignation","2018-07-12",
"Hartlepool","Rural W","C","Ray Martin-Wells","Resignation","2018-07-12",
"Lewes","Chailey/Wivelsfield","C","Cyril Sugerman","Resignation","2018-07-12",
"Norfolk CC","Yare/All SS","C","Cliff Jordan","Resignation","2018-07-12",
"Rutland","Oakham SW","C","Richard Clifton","Resignation","2018-07-12",
"Waveney","Pakefield","Lab","Sonia Barker","Resignation","2018-07-12",
"Waveney","Southwold/Reydon","C","Sue Allen","Death","2018-07-12",
"Bury","Besses","Lab","Elizabeth Fitzgerald","Resignation","2018-07-19",
"Carms","Saron","PC","Alun Davies","Death","2018-07-19",
"MK","Bletchley E","Lab","Alan Webb","Resignation","2018-07-19",
"Northants CC","St George","Lab","Rachel Cooley","Resignation","2018-07-19",
"Oxford","Headington","LD","Ruth Wilkinson","Resignation","2018-07-19",
"W Lancs","Hesketh-w-Becconsall","C","Paul Moon","Resignation","2018-07-19",
"NE Lincs","Freshney","Lab","Ray Sutton","Resignation","2018-07-26",
"Fife","Inverkeithing/Dalgety Bay","Lab","Lesley Laird MP","Resignation","2018-09-06",
"Bury","East","Lab","Mike Connolly","Resignation","Not yet called",
"Cornwall","Newquay Treviglas","LD","Paul Summers","Death","Not yet called",
"E Herts","Watton-at-Stone","C","Michael Freeman","Resignation","Not yet called",
"Fylde","Ansdell","C","David Eaves","Resignation","Not yet called",
"KLWN","Snettisham","C","Avril Wright","Resignation","Not yet called",
"New Forest","Fawley/Blackfield/Langley","C","Bob Wappett","Death","Not yet called",
"Peterborough","Orton Longueville","C","June Bull","Resignation","Not yet called",
"Plymouth","Stoke","Lab","Philippa Davey","Resignation","Not yet called",
"Tameside","Ashton Waterloo","Lab","Catherine Piddington","Death","Not yet called",
"Thanet","Birchington S","Ind","Alan Howes","Death","Not yet called","Elected as UKIP"
"Torridge","Hartland/Bradworthy","LD","Jane Leaper","Resignation","Not yet called",
